	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
AOC1	0.916880194189642	0.887086614362207	0.905211770271548	0.865057668736667	0.871689397939243	0.859377072831819	0.913583507803478	0.957960010458152	0.928249601316982
AOC2	1.03356150924332	0.95652868653002	0.976965152734441	0.976925527936608	0.912705243979772	0.898949628374973	1.03251616921644	0.990172785683636	0.939523867878882
AOC3	1.03919769953833	0.950259431604941	1.04736205261691	1.07341366293268	1.05633770283565	0.99266550469606	1.0451959648347	1.00367413328394	0.98567470395813
AOC4P	1.14051072497971	1.20570361136302	1.16229978485531	1.22483208083738	1.17641741528678	1.21321358872595	1.22208005349118	1.22057678636611	1.19077858655586
AOX1	0.993178350550476	1.08567093926181	1.04210744895883	1.00722614300075	1.01481215878289	0.997098319397909	0.985740313254372	1.05188715391327	0.993510001937204
AP1AR	1.21976668216173	1.1814151509394	1.4035345786983	1.08911489091079	1.12506511240634	1.26621612803084	1.23478816559204	1.1337839567373	1.32092221302962
AP1B1	1.60111190023006	1.44002275592356	1.49269390234708	1.48337633444373	1.49711471880717	1.46736568687505	1.63715752963369	1.55220426312729	1.53857335122689
AP1G1	1.78878173639063	1.58364116157696	1.66210540604477	1.45208876710389	1.56516200940641	1.44831959470702	1.62940805026606	1.36959940912752	1.64766435183241
AP1G2	1.61315426840764	1.23096652534643	1.38019472520459	1.15570864831564	1.41377795592117	1.37844700071813	1.40091588786331	1.40395978983107	1.39281881039694
AP1M2	0.992711404166111	1.11428931889241	1.08539167209671	1.03525832202557	1.11607160706369	1.02252374407128	1.02371963415023	1.13873055687926	1.08197118491023
AP1S1	1.18316915907921	1.19069846456156	1.15474732968	1.18306492126493	1.17534987818305	1.32654779334621	1.15782953554536	1.14397252609905	1.12124745631621
AP1S2	2.03713111975186	1.98483634740115	2.38115672089738	2.21705433832064	2.4366945162091	2.57691771422974	2.14938722382357	2.58260449905717	2.19788374250605
AP2A2	1.60058822148506	1.37407235269287	1.46790456873987	1.47352993226571	1.49828474250593	1.38493927794818	1.41774635669466	1.33437540053097	1.57876423381131
AP2B1	2.24207816707754	2.05709353885043	1.74268680372845	2.16732811245181	2.00194032328735	1.81211900708759	2.17320866166627	1.55633863719778	1.72466922496499
AP2M1	2.76088409091251	2.34891256349537	2.50595422938687	2.32639926372776	2.30338025655839	2.6288941339943	2.75238398716826	2.16112269078343	2.26747790240935
AP2S1	3.09730692389569	3.21715132794678	2.98034753408199	4.01803207583705	3.35899493207211	3.70684823538654	3.59268493016671	3.12128690318176	2.68381522167144
AP3B1	1.79149832195988	1.56984798587949	1.79232671188775	1.73437412279147	1.83015040788615	1.68763880980005	1.59479790532842	1.57501949709296	1.66650883843045
AP3B2	1.00030120856218	1.00457024129067	1.01484716752924	0.987849748263444	0.95952653804547	1.01531277079219	0.965390360583659	0.965784069088081	0.948639551218562
AP3D1	3.1540380930294	3.15470583303446	2.89546017199876	2.81005382445808	3.07626666886248	2.77937852420117	2.91420797445579	2.93315843379613	2.66076283634427
AP3M2	1.95818923585661	2.06474304356121	1.9848666653199	1.83733174057262	1.79027977452702	1.65893141356295	2.00852964721645	1.58201543373933	1.76729742076524
AP3S1	4.26686189110981	4.14817544770194	4.47381259250467	4.10656059331892	4.42496762547281	4.69540460576114	4.09228049211818	4.77519242025947	4.2066997776472
AP4E1	0.989444738668781	0.902584325696514	0.947082265851256	0.907592353868867	0.910329904902977	0.893063364239577	0.953807954777037	0.905729480897596	0.976027844405877
AP4M1	0.964255421683463	0.919936417124888	0.982875834225039	1.02481519997747	0.942707176952037	0.956960765724617	0.969368748827667	0.899687245419369	0.913388369404579
AP4S1	1.33962129051597	1.29935518990023	1.46999229064739	1.53045470496328	1.4406850072626	1.34993200652279	1.35059487777139	1.44769150009207	1.41689476291892
AP5M1	2.96736304722584	3.07809076665455	3.08546111827824	2.84652124809956	2.51079330809611	2.74140099751289	3.40929824340292	2.55828654069702	2.97423392616464
AP5S1	1.12338521360427	1.20766582626223	1.18713139611502	1.27899271093036	1.2553490051553	1.24156718208948	1.17938460539528	1.15992328553952	1.22012534336692
APAF1	1.39632668935183	1.25112223567755	1.47718991002564	1.32602407086749	1.18039633151547	1.34215626738763	1.33621990015928	1.26959069337919	1.49624275693186
APBA1	0.975586062967347	1.04132935023679	1.01018945463217	0.988617949454581	1.02580470720169	1.04276079194917	1.0075110091882	0.991383773737786	0.994112317401123
APBA2	1.39972394081913	1.35838400530814	1.43214217267629	1.26307658116983	1.42410140055638	1.31582546949406	1.35970219037482	1.39438583606602	1.60462682690148
APBA3	1.79625820221452	1.80986281567182	1.66188853404229	1.4555353295587	1.61487497487032	1.42347042930743	1.88184088887233	1.75118908536821	1.5549102956542
APBB1	0.924984109550711	0.982537440585541	0.987707413265135	0.97247430892087	1.00063414646577	0.969078292048304	0.917233502739861	0.908025759836981	0.962223556028766
APBB1IP	1.0004513414086	1.019654822251	1.0414509869321	0.991363474036502	1.00971709297918	0.977901326190794	0.981037254098344	1.0297712597407	1.02915430859892
APBB2	1.07465097597133	1.05495716546256	1.06456173008858	1.03207393521536	1.08536613894311	1.05632321193296	1.06097745800593	1.09200820111246	1.09437418598392
APC	2.26058662130759	1.43975422710334	1.65358005072988	1.74385430072952	1.57401866764435	1.36733045214985	1.92616903957326	1.30798093382254	1.69144500032255
APC2	0.967209763683366	0.999415009392465	1.06261619485413	1.02045427109506	0.998900931807537	1.00857662879696	1.04041549446749	1.0512846112813	1.06136328195622
APCS	0.914869239883306	0.917032666270703	0.927531679385165	0.991068428962146	0.892117880321244	0.876653339511313	0.907976249440512	0.92528770476634	0.956640204076952
APEH	2.1895889513422	1.87660990839848	1.67420634862758	1.85469719426353	2.08786656285185	1.91616730580661	2.1275505560454	1.58604690069124	1.63419386253803
APEX1	4.92964788011554	4.5069474924006	4.53867370428991	4.86316431149404	4.85349172501217	5.96733975432146	4.94127688627542	5.03087183585931	4.50199633816647
APEX2	1.51533010048952	1.62502871086706	1.42016637225082	1.29533649061827	1.3065044976118	1.30515647854147	1.72715414154957	1.43566109443139	1.5044781630855
APH1A	1.57943579052062	1.37720851887771	1.5246212258839	1.22690333778331	1.40316725795728	1.36107376733764	1.46090243039811	1.38734565831921	1.47417485712831
APH1B	1.38819483534927	1.38400066546981	1.3766905408925	1.39125808140421	1.54613323329425	1.4484613487858	1.32188775491757	1.32898845223284	1.29041704982776
API5	2.05383942521812	1.81636557042046	2.00322648582626	2.03343605645611	2.21979601084502	1.94845707795654	2.10997328273965	1.48397334298178	1.97279780242053
APIP	2.59003154650445	2.60880090096858	2.59433219091856	2.67748177206081	2.51082381467099	2.5895808066267	2.82190180277439	2.48946376505459	3.08606841544862
APLNR	1.06125587796982	1.10743379049125	1.06300890143753	1.07672144581733	1.02884923110993	1.01867140107227	1.07253196342676	0.986853210617349	1.01915271061645
