	Ery_C1_cells	Ery_C2_cells	Ery_C3_cells	Ery_C4_cells	Ery_C5_cells	Ery_C6_cells	Ery_D1_cells	Ery_D2_cells	Ery_D3_cells
RNMT	2.01119677293898	2.022468237484	1.84835808465085	2.09914720229262	1.41410960219404	1.93751912201332	2.10635395254761	2.01592022185117	1.70901117687594
RNMTL1	2.2342280213336	2.36880310312502	2.37737848093596	2.54937778058765	2.1046147698525	2.21423540923915	2.75418705678506	2.77863209215332	2.51660251478632
RNPEP	1.43454221689618	1.45476835949715	1.51869947409952	1.44704731856774	1.42552897814114	1.47679915687743	1.6009174259039	1.58114919463089	1.555826443964
RNPEPL1	1.0684717246891	1.2221294214478	1.12351918852784	1.13797113734814	1.18162699612152	1.17125570812526	1.1648873081015	1.1664621111425	1.13794346635364
RNPS1	2.70719454106523	2.93057623988278	2.78488876783528	2.79784575255348	3.32041138796074	3.39220177715134	3.32213071811608	3.4049130751056	3.2351270679361
ROBO1	1.11720982709922	1.30869076056179	1.16558128101878	1.21679118969081	1.13075540426077	1.25073750042073	1.31253965735349	1.34469650621838	1.30726861462154
ROBO3	1.21182631926364	1.43019000999964	1.29507503956431	1.28727444687157	1.29315672626763	1.21924436669262	1.23019995172835	1.08548202474464	1.35891306942062
ROBO4	1.01607080267528	0.991173731979077	0.950050246516155	0.983561832416005	1.01007110896336	0.92389779757923	0.945231479649875	0.945848920382069	0.984301791537103
ROCK1	3.77941128690619	3.82151792307027	3.60245708307218	4.04847583934209	4.03820343247054	4.74641835388527	4.48568844523843	3.97784828624847	4.39299139117124
ROCK2	1.58825280088347	1.38288332475128	1.5536693363048	1.5943910387492	1.25904484669981	1.41118408591942	1.47687284481287	1.67647041828946	1.7089859135727
ROGDI	1.275400963919	1.19912140631591	1.17675318133171	1.08863858631941	1.154798503684	1.2047465131555	1.26365870838706	1.31677000297723	1.0943855358217
ROM1	0.941544105092086	0.946963100444807	0.939781707178456	0.969142641389563	0.970700487914287	0.963647843446776	0.953404608704703	0.982126086664007	0.969648059420338
ROR1	1.05007647150751	1.09899308514342	1.04062812729581	1.00998189404416	1.14914258399929	1.1452643308066	1.12312765001938	1.04462786472127	1.15301558564261
ROR2	1.00540983879681	0.939775695434484	0.969540506317856	0.928192179859642	0.990005343138187	1.00054795353048	0.992775453360604	1.03490129587306	1.07622572141682
RORA	1.11766906467345	0.938749941462606	0.901695765870955	0.933732852465736	0.864642346418461	0.883660092041241	1.01044307139471	0.895945463179371	0.875259959948425
RORB	1.01731377209508	1.10631055310479	0.93635494918228	0.930887770836914	1.17593084441609	1.07383002222362	1.11102434864473	0.965763596632617	1.0685226262548
RORC	1.07148665362393	1.03937905755615	1.04955465860003	1.07800900620728	1.01360701356098	1.08533709816653	1.07023875376839	1.05790985013986	1.08613662843046
RP2	1.7405545195561	1.74814195075667	1.59974521741095	1.63751830308637	1.58133578463809	1.80691625088844	1.79064587312138	1.53190402889711	1.82172855790859
RPA1	5.5860589212295	5.27386765431312	5.55840622335045	5.17386979497258	5.15093873602958	5.7628475999736	5.45047654268516	5.13558820232005	5.19575889613812
RPA2	3.6633380805438	3.65309782255644	3.794654602464	3.96446636444435	2.84498213966502	3.40384031901305	3.35766243844784	3.80416956445134	3.24518855265946
RPA3	4.27255104056803	3.08759061751184	3.10689729297453	2.78223117226201	2.8827032853787	3.15009484224066	2.79173953082821	3.37850790850019	2.64341307538146
RPA4	0.830343584606568	0.869787603455968	0.88142962324024	0.852464229595084	0.828436309698365	0.865684990600952	0.863915493797975	0.861684747406992	0.85045718811303
RPAIN	1.20961646949791	1.33273946277955	1.30250626837026	1.43655260124894	0.965857979275195	1.15875759282434	1.10685926489445	0.967669670732014	1.11945229613877
RPAP1	1.21383537412768	1.21575302862713	1.18574195858701	1.28714090764988	1.20185322005827	1.19775221749029	1.25932134658012	1.27017634324838	1.21305038999206
RPAP2	1.04125828878475	1.08843371433145	1.08160891234918	1.09261849477954	1.08275608647601	1.01596223721667	1.03677839985	1.04772432648876	1.11073490192184
RPAP3	1.86691636553075	1.96196227007774	2.10499868851506	2.03579577875886	1.61583190239656	1.83434124446155	2.15193213069675	1.88185429083045	2.22374650115373
RPARP-AS1	1.78514278526552	2.00119507000731	2.10065437217011	2.06313956255616	1.76018669449332	1.77423872985282	1.80532100694454	1.9775416601891	1.89921266393021
RPE	1.71882697043569	1.77188017190117	1.75033806301499	1.83351942990009	1.63480274775183	1.8536373965873	1.93054975516022	1.97999644803723	1.88645994485921
RPE65	0.880556685099691	0.872827956455777	0.861361608259561	0.842588298456308	0.860464433809418	0.840342060967142	0.868126784633557	0.88980609345228	0.868890087080735
RPF1	4.74514596176586	4.87000204009101	4.74283311875242	4.804757133785	4.10814280997008	4.59633115817033	4.07986559809	5.41394829307062	4.55893105759775
RPGR	1.49161686871906	1.60046256594851	1.36701048327365	1.84924937589474	1.58553675084875	1.43722150083501	1.53267356637782	1.24188618213101	1.72429116429197
RPGRIP1	1.00184067073108	1.05103355645846	1.03031343498738	1.03287389747185	1.16281536684243	1.08824276099634	1.15385262704081	1.06384823667182	1.02645645008141
RPGRIP1L	1.17280900114635	1.10237511115333	1.12071035102269	1.09250027702943	1.07432905486812	1.27825992102607	1.19650483679283	1.08741995310846	1.20272117948901
RPH3A	0.948309189281836	0.946246360404986	0.957787892363936	0.944785869232564	0.961411229706367	0.922777592948129	0.971917335695791	0.975857294580807	0.966932485476897
RPH3AL	0.915852215935798	0.933164898403477	1.02677215939535	0.90471839349876	0.989389554448903	0.987161214813896	1.05806196195605	1.04012382170139	1.11254954727407
RPIA	5.44536815477275	4.65958574670572	4.39412238497231	4.41696990379172	4.40918581985374	4.74585780959567	4.04120801637735	4.72131755332281	4.15977257387263
RPL10A	7.9061636982103	9.37949492767864	8.71970954870679	9.39155391670519	8.54524751867756	6.79838203630953	6.25847485938808	7.47330890002193	7.46826070758085
RPL10L	1.9210172507101	1.99112844143062	1.96296949069546	1.989743976538	1.67398667548727	1.61555491921014	1.66379905562261	1.58167092423371	1.50614079809955
RPL11	7.75014697424354	8.2761767833186	8.22112778855653	8.22212528703071	7.24275646819076	7.49456251658883	5.66157896144298	6.27363200877394	6.6420545431664
RPL12	10.192539606373	11.7495956108452	11.4843841300848	11.5305159467904	14.5023020390821	10.2530502885847	8.5081360715743	10.3617126905499	9.98865582006929
RPL14	10.1777692134522	10.522240381103	10.9206710102107	10.9650224024269	12.2163161713494	11.5015049139106	9.00694750685373	10.8432186904031	10.4445929749689
RPL15	9.64924339102699	9.91268242401091	10.6915210720484	10.8272799244221	10.7898579092865	8.59470212030898	7.73243208925483	8.35123056071717	8.47131086684771
RPL18	7.36632070581922	7.77052390326023	7.65270631223901	7.91078764730085	7.01780387681511	5.29617334337044	5.14006813072507	5.81324111300038	5.5897867420059
RPL19	6.51984543100454	6.96179396399031	6.83372697720482	6.99316800699765	6.11944014134099	5.63033726113001	4.91102110407067	5.87572755288346	5.3674525953534
RPL22	8.45787907201716	8.4333673922713	11.2473852008665	10.7692147706185	12.5317566182396	8.85607213525444	8.31420732877958	10.0805573362737	7.43226498174532
RPL23AP32	1.43118904111442	1.48155637584336	1.44295892429681	1.40437749799198	1.50247517676088	1.41478635385997	1.37763457549515	1.33575683969187	1.49726438754145
RPL23AP53	1.00990816810685	1.00000321158709	0.991320396862073	1.01101767165953	1.00276748341807	1.04239323297132	1.03587159665415	1.00485301283614	0.945922425413761
RPL24	9.75519082653773	9.61993761223382	10.1876642832378	8.84218958059834	10.3459888893703	8.86252572482877	7.355432561754	9.18890788656662	8.35931296824566
RPL26L1	3.48681089682937	3.2954527834472	3.40703411491906	3.41704414621882	2.97964800805548	3.267397535842	2.84485795731572	3.90183374461073	2.82762657410063
RPL27	10.0467725947085	10.1226735391409	10.5763259684527	10.5409162348737	11.7749815338977	9.67264806329538	7.87473885502186	8.9026703379252	9.35881702958511
RPL30	10.5560316121597	11.0911362283219	11.4964173525479	11.5331169579289	13.3570428656015	11.6321612519057	8.7090714844766	10.2487569939999	10.3713800067838
RPL31	11.3634413352027	12.0634197682814	12.4473461908565	12.3773944852079	14.7832361710886	11.8836852211396	8.89631235791169	9.72711172692246	10.8007426061774
RPL32	10.135422149131	11.3277191744238	11.2019958721765	10.998688357618	11.7355584625527	9.73807407222735	7.97711387156866	8.67473957915828	8.69761160799305
RPL34	7.83653486515784	8.203767336041	8.46173325751256	8.20697397147099	9.56027480152954	8.02004715925607	6.16718246952478	6.46690898753798	7.31376661819436
RPL35	7.42131803741812	8.21433013800065	8.47395629413993	8.68186980475229	9.35015478379814	7.08722397249742	5.93923405916483	6.30764987928883	6.8956733890048
RPL35A	8.47287047341522	9.18488302443788	9.70549618342011	9.60364157083377	9.76799661999011	9.27040946907197	6.95442233598267	8.7879856393521	8.20143523783462
RPL36	4.65932761558583	4.52020386575926	4.74922853903369	4.32010707044141	4.16846973627248	4.39847513589856	2.98099459832017	4.29792477889812	3.1950615467977
RPL36AL	6.39099167354987	8.07717079818758	7.99533872684678	8.74498926609232	7.04566679816516	6.45850179852973	5.3969829722968	7.17018419090503	5.73257773995667
RPL37A	11.9953289157695	12.5431865903683	12.9936099266627	12.4918687389185	15.5010021245942	11.8627343065624	8.47460006294059	10.5335563914204	9.53821463655128
RPL38	9.8660168791808	10.5284093207799	10.6257901580041	9.96705800469805	12.0982110826463	9.93398723771922	7.54949413506566	9.59579478406223	9.42439147493352
RPL39	9.72349325755534	10.1982029749087	10.2022047871379	9.84045428300613	11.8482575296352	10.3276516767387	7.82679147140892	8.69023651504306	8.74737555142552
RPL39L	1.4354282763062	1.63001485104061	1.68020215977142	1.70417808061715	1.56836743557518	1.70256620209408	1.64675449967515	1.60024089250587	1.70382890719506
RPL3L	1.08420281413146	1.03727925398704	1.03749500772987	1.10713545035676	1.07492796721152	1.02859814633781	1.04364319696548	1.02851848533425	1.05479455252797
RPL41	12.5075731181738	12.8605302001775	13.2508619335126	13.6438254355789	15.7477230685888	11.043143977268	9.89848387924075	11.0447456665008	10.1277570317186
RPL8	9.440936149498	9.34192934217434	9.95862036610598	9.82279121320394	9.48386224657968	8.48729477805078	7.74311747381105	8.31266291960818	8.16654001224324
RPL9	8.44911704204575	9.05012762139879	11.7283583046826	11.4227127648175	9.4115173632429	10.1683744213398	6.59333090995106	10.4033324256957	7.44216916643622
RPLP0	11.9337404893498	12.3837215752531	12.1625932321385	12.3159593682682	15.2892467979954	11.3955901447786	10.2692609642707	10.5419995627015	10.6717523516696
RPN1	2.63114605034693	3.07153896104281	3.40171787998321	3.61107835929421	2.45974679184205	2.94593565615413	3.16395151826509	2.81765574198721	2.88381222524347
RPN2	5.59944037774357	7.02357519261989	6.53025413083689	6.46323788003961	9.08827246123277	6.37886057582566	6.53152469681732	5.36891928769567	6.14561548165026
